name,x,y,h
 P1,382170.426,2052981.399,558.303
 P2,382157.51,2052874.447,556.389
 P3,382145.289,2052779.681,555.531
 P4,382021.025,2052781.625,555.49
 P5,381906.068,2052782.374,554.378
 P6,381760.751,2052783.794,553.599
 P7,381654.535,2052784.242,553.433
 P8,381581.649,2052784.471,558.6
 P9,381590.303,2052913.735,554.876
 P10,381573.443,2052996.019,555.644
 P11,381574.164,2053067.051,556.707
 P12,381616.428,2053083.766,557.12
 P13,381717.052,2053065.195,557.665
 P14,381807.187,2053048.992,558.595
 P15,381952.26,2053022.097,559.019
 P16,382060.682,2053003.993,559.048
 B1,382140.094,2052978.114,558.825
 B2,382139.111,2052933.658,557.847
 B4,382054.645,2052985.081,558.774
 B3,382056.231,2052938.772,558.036
 B5,382043.789,2052987.47,558.465
 B6,382002.555,2052987.778,558.569
 B7,382002.783,2052934.509,557.747
 B8,382043.629,2052934.724,558.244
 B9,382041.329,2052916.758,557.646
 B10,381990.186,2052917.275,557.488
 B11,381989.999,2052869.283,556.717
 B12,382041.136,2052868.547,556.84
 B13,382041.388,2052848.257,556.631
 B14,381990.171,2052848.555,556.16
 B15,381989.319,2052798.028,555.13
 B16,382040.288,2052797.482,555.871
 B17,382084.773,2052797.379,555.1
 B18,382084.983,2052848.298,556.632
 B19,382135.753,2052847.738,556.366
 B20,382136.148,2052796.266,556.045
 B21,381800.407,2052799.651,553.675
 B22,381750.047,2052799.95,558.3
 B23,381749.848,2052851.522,554.06
 B24,381801.055,2052850.83,554.831
 B25,381829.567,2052875.24,555.417
 B26,381880.709,2052873.312,556.225
 B27,381880.969,2052918.174,556.095
 B28,381829.711,2052918.576,555.539
 B29,381801.681,2052935.583,555.82
 B30,381802.038,2052986.809,557.001
 B31,381749.259,2052987.917,555.953
 B32,381749.883,2052935.456,555.375
 B33,381653.68,2052917.511,555.759
 B34,381653.034,2052866.574,554.554
 B35,381602.024,2052866.853,553.897
 B36,381602.508,2052917.948,554.81
 B37,381601.181,2053005.247,556.239
 B38,381666.629,2053004.916,556.548
 B39,381666.733,2053061.217,557.114
 B40,381601.605,2053061.855,556.587
 B41,381683.663,2053049.432,557.728
 B42,381699.187,2053049.222,557.467
 B43,381698.972,2053040.316,557.293
 B44,381683.615,2053040.594,557.382
